Name,Address
SHIPWIZE,"21052 SHERIDAN ST STE JM 9990, FORT LAUDERDALE, FL 33332"
VALUE OPTICAL- ID VALOPT,"10901 NW 146TH ST STE 8, HIALEAH GARDENS, FL 33018"
MICHELE MING,"2291 SW 164TH AVE, MIRAMAR, FL 33027"
CHARM EYEWEAR,"10760 NW 138 ST STE 5, HIALEAH GARDENS, FL 33018"
SUPER OPTICIAN,"9505 NW 108TH AVENUE, MEDLEY, FL 33178"
INTERNATIONAL CARGO CONSOLIDATORS,"11700 NW 101ST RD STE 8, MEDLEY, FL 33178"
PAS CARGO USA,"10901 NW 146TH ST UNIT 8, MIAMI LAKES, FL 33018"
GLOBAL EYES,"10302 NW SOUTH RIVER DR UNIT 21, MEDLEY, FL 33178"
CONNIE WILLIAMS,"8005 N W 80TH ST STE 4, MIAMI, FL 33166"
DR CHARLENE WALLACE,"1711 W 38TH PL STE 1107, HIALEAH, FL 33012"
LINDSAY INTERNATIONAL,"20340 NE 15TH CT UNIT 150C, NORTH MIAMI BEACH, FL 33179-2716"
EYE Q OPTICAL,"2295 NE 164TH STREET, NORTH MIAMI BEACH, FL 33160"
ASH EYE INSTITUTE,"701 SE 32ND CT  UNIT 106, FORT LAUDERDALE, FL 33316-4122"
IMPERIAL OPTICAL COMPANY,"2801 NW 55th COURT BLDG 6W, FORT LAUDERDALE, FL 33309"
BAHAMAS VISION CENTRE,"960 NW 53RD ST, FORT LAUDERDALE, FL 33309-3105"
VALUE OPTICAL LTD,"3171 PARMA DR, DELTONA, FL 32728"
HINESIGHT VISION CARE,"1006 TREETOPS BLVD STE 105, FLOWOOD, MS 39232"
Thomas Eye Group,"2700 Highway 34 East, Newnan, GA 30265"
PAMELA SHUFFLER,"607 REDBUD LN, STOCKBRIDGE, GA 30281-6318"
Thomas Eye Group,"6000 Hillandale Drive, Lithonia, GA 30058"
Thomas Eye Group,"3975 Lawrenceville Highway NW, Lilburn, GA 30047"
OPTICAL DESIGNERS,"S-C #1357 STREET.19, GUAYNABO, PR 966"
Thomas Eye Group,"149 Towne Lake Parkway, Woodstock, GA 30188"
Thomas Eye Group,"9995 Barfield Road, Sandy Springs, GA 30328"
Thomas Eye Group,"5901A Peachtree Dunwoody Rd, Altanta, GA 30328"
Thomas Eye Group,"11690 Alpharetta Hwy, Roswell, GA 30076"
Thomas Eye Group,"1120 Peachtree Industrial Blvd, Suwanee, GA 30024"
"CARL E FLINN, MD","773 ESTATE PL, MEMPHIS, TN 38120-0600"
KAISER PERMANENTE OPTICAL SALES,"7520 ARROYO CIR, GILROY, CA 95020"
KAISER PERMANENTE OPTICAL SALES,"7300 N FRESNO ST, FRESNO, CA 93720"
KAISERPERMAMENTE OPTICAL SALES,"910 MAPLE ST, REDWOOD CITY, CA 94063"
KAISER PERMAMENTE OPTICAL SALES,"1000 FRANKLIN PKWY, SAN MATEO, CA 94403"
KAISER PERMANENTE OPTICAL SALES,"555 CASTRO ST, MOUNTAIN VIEW, CA 94041"
KAISER PERMAMENTE OPTICAL SALES,"395 HICKEY BLVD, DALY CITY, CA 94015"
KAISER PERMAMENTE OPTICAL SALES,"710 LAWRENCE EXPRESSWAY #474, SANTA CLARA, CA 95051"
KAISER PERMAMENTE OPTICAL SALES,"1721 TECHNOLOGY DRIVE, SAN JOSE, CA 95110"
KAISER PERMAMENTE OPTICAL SALES,"3553 WHIPPLE RD, UNION CITY, CA 94587"
KAISER PERMANENTE OPTICAL SALES,"1600 OWEN STREET, SAN FRANCISCO, CA 94158"
KAISER PERMAMENTE OPTICAL SALES,"1635 DIVISADERO STE 490, SAN FRANCISCO, CA 94115"
KAISER PERMANENTE OPTICAL SALES,"611 S MILPITAS BLVD, MILPITAS, CA 95035"
KAISER PERMANENTE OPTICAL SALES,"39400 PASEO PADRE PKWY, FREMONT, CA 94538"
KAISER PERMAMENTE OPTICAL SALES,"5755 COTTLE RD BLDG #25, SAN JOSE, CA 95123"
KAISER PERMANENTE OPTICAL SALES,"3772 HOWE ST, OAKLAND, CA 94611"
AMADOR VALLEY OPTOMETRIC,"4450 BLACK AVE STE C, PLEASANTON, CA 94566-6145"
KAISER PERMANENTE OPTICAL SALES,"7601 STONERIDGE DR, PLEASANTON, CA 94588"
KAISER PERMANENTE OPTICAL SALES,"3000 LAS POSITAS RD, LIVERMORE, CA 94551"
KAISER PERMAMENTE OPTICAL SALES,"2417 N NAGLEE RD, TRACY, CA 95304"
KAISER PERMANENTE OPTICAL SALES,"4601 DALE RD, MODESTO, CA 95356"
KAISER PERMAMENTE OPTICAL SALES,"5900 STATE FARM DR, ROHNERT PARK, CA 94928"
KAISER PERMANENTE OPTICAL SALES,"3900 LAKEVILLE HWY, PETALUMA, CA 94954"
KAISER PERMAMENTE OPTICAL SALES,"1033 THIRD ST, SAN RAFAEL, CA 94901"
KAISER PERMAMENTE OPTICAL SALES,"3925 OLD REDWOOD HWY, SANTA ROSA, CA 95403"
KAISER PERMAMENTE OPTICAL SALES,"901 NEVIN AVE, RICHMOND, CA 94801"
KAISER PERMAMENTE OPTICAL SALES,"975 SERENO DR, VALLEJO, CA 94589"
KAISER PERMANENTE OPTICAL SALES,"200 MUIR RD, MARTINEZ, CA 94553"
KAISER PERMANENTE OPTICAL SALES,"3285 CLAREMONT, NAPA, CA 94558"
KAISER PERMAMENTE OPTICAL SALES,"320 LENNON LANE, WALNUT CREEK, CA 94598"
KAISER PERMANENTE OPTICAL SALES,"1550 GATEWAY BLVD, FAIRFIELD, CA 94533"
KAISER PERMANENTE OPTICAL SALES,"3400 DELTA FAIR BLVD, ANTIOCH, CA 94509"
KAISER PERMAMENTE OPTICAL SALES,"1 QUALITY DR, VACAVILLE, CA 95688"
KAISER PERMANENTE OPTICAL SALES,"4501 SAND CREEK R D, ANTIOCH, CA 94531"
KAISER PERMAMENTE OPTICAL SALES,"7373 WEST LANE, STOCKTON, CA 95210"
KAISER PERMANENTE OPTICAL SALES,"9201 BIG HORN BLVD, ELK GROVE, CA 95758"
KAISER PERMANENTE OPTICAL SALES,"1955 COWELL BLVD, DAVIS, CA 95616"
KAISER PERMAMENTE OPTICAL SALES,"7300 WYNDHAM DRIVE, SACRAMENTO, CA 95823"
KAISER PERMAMENTE OPTICAL SALES,"1650 RESPONSE RD, SACRAMENTO, CA 95815"
KAISER PERMANENTE OPTICAL SALES,"10725 INTERNATIONAL DR, RANCHO CORDOVA, CA 95670"
KAISER PERMANENTE OPTICAL SALES,"2155 IRON POINT RD, FOLSOM, CA 95630"
KAISER PERMANENTE OPTICAL SALES,"1900 DRESDEN DR, LINCOLN, CA 95648"
KAISER PERMAMENTE OPTICAL SALES,"1001 RIVERSIDE AVE, ROSEVILLE, CA 95678"
KAISER PERMANENTE OPTICAL SALES,"1680 E. ROSEVILLE PKWY., ROSEVILLE, CA 95661"
UNIVERSITY OF KANSAS HEALTH SYSTEM,"2015 W 39TH AVE, KANSAS CITY, KS 66160"
RUEBBEN-PLUM OHG,"THEATERSTR. 54/56, AACHEN, DE 52062"
Wisconsin Vision,"5620 Crawfordsville Road, Speedway, IN 46224"
Wisconsin Vision,"1551 E Stop 12 Road, Indianapolis, IN 46227"
EAGLE EYE ASSOCIATES,"155 LITTLE CONESTOGA RD, EAGLE, PA 19480"
DICK'S DS,"935 1ST AVE, KING OF PRUSSIA, PA 19406"
Vutt Sunglasses,"37 West Route 130 South, Burlington,  8016"
Wisconsin Vision,"2524 W Farrelly Ave, Peoria, IL 61615"
KEPLR VISION,"112 E WASHINGTON ST 10TH FL, BLOOMINGTON, IL 61701"
Wisconsin Vision,"1203 W Alto Road, Kokomo, IN 46902"
Wisconsin Vision,"3812 W Jefferson Blvd, Fort Wayne, IN 46804"
SAKS OFF 5TH AVE DC 0593,"25 KEYSTONE BLVD, POTTSVILLE, PA 17901"
EYE SOLUTIONS,"6002 8TH AVE, BROOKLYN, NY 11220"
SEA VENTURE SHIPPING,"123 PENNSYLVANIA AVE  BLDG 2, KEARNY, NJ 07032-4505"
ROSHAN ALI,"107-30 115TH ST, SOUTH RICHMOND HILL, NY 11419"
ATLANTIC VISION CARE,"152-01 ROCKAWAY BLVD, JAMAICA, NY 11434"
AMERIJET INTERNATIONAL,"17709 150TH AVE, JAMAICA, NY 11434-6206"
OPTI-FACTORY,"500 EL CENTRO I LOCAL 14B, SAN JUAN, PR 918"
DIGITAL EYE LAB,"4 SKYLINE DR, HAWTHORNE, NY 10532"
Rosin,"1960 Essington Road, Joliet, IL 60435"
Rosin,"2820 Plainfield Road, Joliet, IL 60435"
Rosin,"3124 State Route 59, Naperville, IL 60564"
Rosin,"1987 W Galena Blvd, Aurora, IL 60506"
Rosin,"705 E Ogden Ave, Naperville, IL 60563"
Rosin,"6800 N Frontage Road, Burr Ridge, IL 60527"
Rosin,"145 Odgen Ave, Downers Grove, IL 60515"
Rosin,"698 Roosevelt Road, Glen Ellyn, IL 60137"
Rosin,"2160 S 1ST AVE, Maywood, IL 60153"
Rosin,"1548 E 55TH ST, Chicago, IL 60615"
Rosin,"141 Jackson Blvd, Chicago, IL 60604"
Rosin,"1725 Harrison St, Chicago, IL 60612"
Rosin,"100 W Randolph, Chicago, IL 60601"
Rosin,"6233 Cermak Road, Berwyn, IL 60402"
Rosin,"645 N Michigan Ave, Chicago, IL 60611"
Rosin,"675 N Saint Clair St, Chicago, IL 60611"
Union Optical,"23150 Lorain Rd, North Olmsted, OH 44070"
Union Optical,"1333 N Carpenter Road, Brunswick, OH 44212"
Union Optical,"5370 Pearl Road, Parma, OH 44129"
Union Optical,"9571 Vista Way, Garfield Heights, OH 44125"
Union Optical,"1948 Buchholzer Blvd, Arkon, OH 44310"
Union Optical,"2020 Carnegie Ave, Cleveland, OH 44115"
Union Optical,"2022 E 105th St, Cleveland, OH 44106"
Union Optical,"28112 Chardon Rd, Willoughby Hills, OH 44092"
Union Optical,"7593 Mentor Ave, Mentor, OH 44060"
SAKS OFF 5TH AVE  #0575,"250 HIGHLAND PARK BLVD STE 2, WILKES BARRE, PA 18702"
Wisconsin Vision,"280 N Phelps Ave, Rockford, IL 61108"
Rosin,"210 Penny Ave, East Dundee, IL 60118"
Rosin,"75 S Sutton Road, Streamwood, IL 60107"
Rosin,"1318 N Roselle Road, Schaumburg, IL 60173"
Wisconsin Vision,"2929 Milton Ave, Janesville, WI 53545"
Rosin,"8580 W Dempster St, Niles, IL 60714"
Rosin,"1346 Patriot Blvd, Glenview, IL 60026"
Rosin,"1947 Cherry lane, Northbrook, IL 60062"
Rosin,"1917 Cherry Lane, Northbrook, IL 60062"
Wisconsin Vision,"5725 75th Street, Kenoshia, WI 53142"
Wisconsin Vision,"202 Westgate Mall, Madison, WI 53711"
Wisconsin Vision,"2612 E Washington Ave, Madison, WI 53711"
Wisconsin Vision,"1921 Silvernail Road, Waukesha, WI 53188"
Wisconsin Vision,"203A E Sunset Drive, Waukesha, WI 53189"
Wisconsin Vision,"12876 W. Bluemound Road, Elm Grove, WI 53122"
Wisconsin Vision,"8225 S 27th St, Franklin, WI 53132"
Wisconsin Vision,"4818 S 76th Street, Greenfield, WI 53220"
Wisconsin Vision,"1401 S 108th St, West Allis, WI 53214"
Wisconsin Vision,"1920 W Layton Ave, Milwaukee, WI 53221"
Wisconsin Vision,"6035 Durand Ave, Racine, WI 53406"
Wisconsin Vision,"1200 Miller Parkway, Milwaukee, WI 53214"
Wisconsin Vision,"3905 Doulgas Ave, Racine, WI 53402"
Wisconsin Vision,"7528 W Burleigh St, Milwaukee, WI 53210"
Wisconsin Vision,"301 N Waters Street, Milwaukee, WI 53202"
Wisconsin Vision,"N85 W16033 Appleton Ave, Menomonee Falls, WI 53051"
Wisconsin Vision,"1260 N Port Washington Rd, Grafton, WI 53021"
Wisconsin Vision,"459 W Johnson St, Fond Du Lac, WI 54935"
Wisconsin Vision,"1510 S Koeller Street, Oshkosh, WI 46902"
Wisconsin Vision,"2229 S Memorial Place, Sheboygan, WI 53081"
Wisconsin Vision,"351 N Casaloma Drive, Appleton, WI 54913"
Wisconsin Vision,"21588 W Mason Street, Green Bay, WI 54303"
CHERRY OPTICAL,"1640B FIRE LANE DR, GREEN BAY, WI 54311-6245"
JEFFREY W WILLIAMS OD,"302 S KNOWLES AVE, NEW RICHMOND, WI 54017-1731"
YAKIMA EYE SPECIALISTS PLLC,"1410 LAKESIDE CT STE 103, YAKIMA, WA 98902-7305"
KAISER WASHINGTON,"700 LILY ROAD N.E., OLYMPIA, WA 98506"
Kaiser Washington,"5821 S. Sprague Court #102, Tacoma, WA 98409"
KAISER WASHINGTON,"1007 39TH AVE SE, PUYALLUP, WA 98374"
Kaiser Washington,"301 South 320th St, Federal Way, WA 98003"
KAISER WASHINGTON,"140 S.W. 146th St., BURIEN, WA 98166"
KAISER WASHINGTON,"10516 SILVERDALE WAY NW #104, SILVERDALE, WA 98383"
Kaiser Washington,"1400 Pottery Ave, Port Orchard, WA 98366"
KAISER WASHINGTON,"310 15TH AVE E, SEATTLE, WA 98112"
KAISER WASHINGTON,"9720 4TH AVE NE, SEATTLE, WA 98115"
Kaiser Washington,"11511 NE 10th Street, Bellevue, WA 98004"
Kaiser Washington,"275 Bronson Way NE, Renton, WA 98056"
Kaiser Washington,"2930 Maple St, Everett, WA 98201"
ASHFORD OPTICAL,"WASHINGTON #30 LOCAL #5, SAN JUAN, PR 907"
KAISER WASHINGTON,"322 WEST NORTH RIVER DR., SPOKANE, WA 99201"
Kaiser Washington,"322 West North River Dr., Spokane, WA 92201"
